#,Username,First name,Last name,Email,Q1 - How many movies did you watch last month? (0 pts),Q2 - Would you attend a movie night? (0 pts),Total
1,User 1,,,,3,Yes,/
2,User 2,,,,0,No,/
3,User 3,,,,6,Yes,/
4,User 4,,,,0,/,/
5,User 5,,,,3,Yes,/
6,User 6,,,,15,Yes,/
7,User 7,,,,0,Yes,/
8,User 8,,,,1,No,/
9,User 9,,,,2,Yes,/
10,User 10,,,,2,Yes,/
11,User 11,,,,1,No,/
12,User 12,,,,2,Yes,/
13,User 13,,,,4,No,/
14,User 14,,,,1,Yes,/
15,User 15,,,,5,Yes,/
16,User 16,,,,2,Yes,/
17,User 17,,,,4,Yes,/
18,User 18,,,,3.141592653589,Yes,/
19,User 19,,,,10,Yes,/
20,User 20,,,,9,Yes,/
21,User 21,,,,1.23,Yes,/
22,User 22,,,,2,Yes,/
23,User 23,,,,8,Yes,/
24,User 24,,,,8,/,/
25,User 25,,,,1,No,/
